table_array,question,answer
"[['Pos', 'No', 'Driver', 'Team', 'Laps', 'Time/Retired', 'Grid', 'Points'], [1, 26, 'Paul Tracy', 'Team KOOL Green', 225, '1:48:49.169', 6, '20'], [2, 99, 'Greg Moore', 'Forsythe Racing', 225, '+5.880', 3, '16'], [3, 5, 'Gil de Ferran', 'Walker Racing', 225, '+6.456', 16, '14'], [4, 12, 'Jimmy Vasser', 'Chip Ganassi Racing', 225, '+7.937', 2, '12'], [5, 40, 'Adrián Fernández', 'Patrick Racing', 225, '+9.929', 18, '10'], [6, 11, 'Christian Fittipaldi', 'Newman-Haas Racing', 225, '+11.251', 13, '8'], [7, 27, 'Dario Franchitti', 'Team KOOL Green', 225, '+12.578', 4, '6'], [8, 17, 'Maurício Gugelmin', 'PacWest Racing', 225, '+15.223', 12, '5'], [9, 33, 'Patrick Carpentier*', 'Forsythe Racing', 224, '+1 Lap', 8, '4'], [10, 4, 'Juan Pablo Montoya*', 'Chip Ganassi Racing', 224, '+1 Lap', 5, '3+1'], [11, 25, 'Cristiano da Matta', 'Arciero-Wells Racing', 224, '+1 Lap', 7, '2'], [12, 18, 'Roberto Moreno', 'PacWest Racing', 223, '+2 Laps', 9, '1'], [13, 7, 'Max Papis', 'Team Rahal', 222, '+3 Laps', 17, nan], [14, 36, 'Alex Barron', 'All American Racing', 222, '+3 Laps', 10, nan], [15, 6, 'Michael Andretti', 'Newman-Haas Racing', 222, '+3 Laps', 11, nan], [16, 19, 'Michel Jourdain, Jr.', 'Payton/Coyne Racing', 222, '+3 Laps', 21, nan], [17, 24, 'Scott Pruett', 'Arciero-Wells Racing', 222, '+3 Laps', 15, nan], [18, 44, 'Tony Kanaan', 'Forsythe Racing', 221, '+4 Laps', 20, nan], [19, 2, 'Al Unser, Jr.', 'Marlboro Team Penske', 221, '+4 Laps', 22, nan], [20, 20, 'P. J. Jones', 'Patrick Racing', 219, '+6 Laps', 14, nan], [21, 10, 'Richie Hearn', 'Della Penna Motorsports', 219, '+6 Laps', 19, nan], [22, 34, 'Dennis Vitolo', 'Payton/Coyne Racing', 212, '+13 Laps', 26, nan], [23, 16, 'Shigeaki Hattori', 'Bettenhausen Racing', 118, 'Contact', 24, nan], [24, 22, 'Robby Gordon', 'Team Gordon', 83, 'Electrical', 23, nan], [25, 8, 'Bryan Herta', 'Team Rahal', 81, 'Handling', 25, nan], [26, 9, 'Hélio Castro-Neves', 'Hogan Racing', 30, 'Turbo boost', 1, '1']]",how many finished all 225 laps?,8
"[['Rank', 'Nation', 'Gold', 'Silver', 'Bronze', 'Total'], ['1', 'Great Britain\xa0(GBR)', 2, 1, 2, 5], ['2', 'Brazil\xa0(BRA)', 2, 0, 0, 2], ['3', 'Spain\xa0(ESP)', 1, 2, 0, 3], ['4', 'Austria\xa0(AUT)', 1, 1, 0, 2], ['4', 'Greece\xa0(GRE)', 1, 1, 0, 2], ['4', 'United States\xa0(USA)', 1, 1, 0, 2], ['7', 'France\xa0(FRA)', 1, 0, 1, 2], ['7', 'Israel\xa0(ISR)', 1, 0, 0, 1], ['7', 'Norway\xa0(NOR)', 1, 0, 0, 1], ['10', 'Ukraine\xa0(UKR)', 0, 2, 0, 2], ['11', 'China\xa0(CHN)', 0, 1, 0, 1], ['11', 'Czech Republic\xa0(CZE)', 0, 1, 0, 1], ['11', 'Canada\xa0(CAN)', 0, 1, 0, 1], ['14', 'Denmark\xa0(DEN)', 0, 0, 2, 2], ['15', 'Argentina\xa0(ARG)', 0, 0, 1, 1], ['15', 'Italy\xa0(ITA)', 0, 0, 1, 1], ['15', 'Japan\xa0(JPN)', 0, 0, 1, 1], ['15', 'Poland\xa0(POL)', 0, 0, 1, 1], ['15', 'Slovenia\xa0(SLO)', 0, 0, 1, 1], ['15', 'Sweden\xa0(SWE)', 0, 0, 1, 1], ['Total', nan, 11, 11, 11, 33]]",what was the number of silver medals won by ukraine?,2
"[['Year', 'Representative', 'Hometown', 'Placement in Miss Nepal', 'Special awards at Miss Nepal', 'Placement in Miss Pokhara'], [1995, 'Rita Gurung', 'Pamee', '1st Runner Up', nan, 'Winner'], [1996, 'Binita Gurung', 'Batulichor', '2nd Runner Up', nan, 'Winner'], [1997, 'Neelima Gurung', 'Nadipur', 'WINNER', 'Miss Personality', 'Winner'], [1998, 'Sunita Ranjit', 'Lakeside', nan, nan, 'Winner'], [1999, 'Kripa Gurung', 'Tersapatti', '2nd Runner Up', 'Miss Photogenic', 'Winner'], [2004, 'Anita Gurung', 'Bajapatan', '2nd Runner Up', 'Miss Talent', 'Miss Paschimanchal 2003'], [2005, 'Chandra Gurung', 'Ghorepatan', nan, nan, nan], [2011, 'Madina Begum', 'Pokreli', nan, 'Miss Perseverance', nan], [2012, 'Dilasha GC', 'Chindata', nan, nan, nan], [2013, 'Sipora Gurung', 'Mahendrapool', '3rd Runner Up', 'Miss Talent', nan], [2014, 'Rashmi Adhikari', 'Goripatan', 'TBA', 'TBA', 'Winner']]",in what year did miss pokhara last win the miss nepal award?,1997
"[['Election', 'Number of\\npopular votes', '% of\\npopular votes', 'Total\\nelected seats', '+/−'], [1988, '139,982', 22.16, '61\xa0/\xa0264', nan], [1991, '170,757', 32.11, '83\xa0/\xa0272', 22.0], [1994, '242,557', 35.34, '121\xa0/\xa0346', 38.0], [1999, '271,251', 33.45, '122\xa0/\xa0390', 1.0], [2003, '459,640', 44.67, '194\xa0/\xa0400', 72.0], [2007, '445,781', 39.15, '127\xa0/\xa0405', 30.0], [2011, '464,512', 39.34, '103\xa0/\xa0412', 18.0]]",what is the total number of popular votes cast in 2003?,"459,640"
"[['Season', 'Division One', 'Division Two', 'Division Three'], ['1983–84', 'Whitehawk', 'Portfield', 'East Preston'], ['1984–85', 'Steyning Town', 'Shoreham', 'Oakwood'], ['1985–86', 'Steyning Town', 'Wick', 'Seaford Town'], ['1986–87', 'Arundel', 'Pagham', 'Langney Sports'], ['1987–88', 'Pagham', 'Langney Sports', 'Midway'], ['1988–89', 'Pagham', 'Seaford Town', 'Saltdean United'], ['1989–90', 'Wick', 'Bexhill Town', 'Worthing United'], ['1990–91', 'Littlehampton Town', 'Newhaven', 'Ifield'], ['1991–92', 'Peacehaven & Telscombe', 'Portfield', 'Hassocks'], ['1992–93', 'Peacehaven & Telscombe', 'Crowborough Athletic', 'Withdean'], ['1993–94', 'Wick', 'Shoreham', 'Bosham'], ['1994–95', 'Peacehaven & Telscombe', 'Mile Oak', 'Midhurst & Easebourne'], ['1995–96', 'Peacehaven & Telscombe', 'Saltdean United', 'Ifield'], ['1996–97', 'Burgess Hill Town', 'Littlehampton Town', 'Sidlesham'], ['1997–98', 'Burgess Hill Town', 'East Preston', 'Lingfield'], ['1998–99', 'Burgess Hill Town', 'Sidley United', 'Oving Social Club'], ['1999–2000', 'Langney Sports', 'Sidlesham', 'Bosham'], ['2000–01', 'Sidley United', 'Southwick', 'Rye United'], ['2001–02', 'Burgess Hill Town', 'Rye & Iden United', 'Pease Pottage Village'], ['2002–03', 'Burgess Hill Town', 'Rye & Iden United', 'Midhurst & Easebourne'], ['2003–04', 'Chichester City United', 'Littlehampton Town', 'Crowborough Athletic'], ['2004–05', 'Horsham Y M C A', 'Crowborough Athletic', 'Storrington'], ['2005–06', 'Horsham Y M C A', 'Oakwood', 'Peacehaven & Telscombe'], ['2006–07', 'Eastbourne Town', 'Pagham', 'Rustington'], ['2007–08', 'Crowborough Athletic', 'East Grinstead Town', 'Loxwood'], ['2008–09', 'Eastbourne United Association', 'Peacehaven & Telscombe', 'Clymping'], ['2009–10', 'Whitehawk', 'Rye United', 'Bosham'], ['2010–11', 'Crawley Down', 'A.F.C. Uckfield', 'Dorking Wanderers'], ['2011–12', 'Three Bridges', 'East Preston', 'Newhaven'], ['2012–13', 'Peacehaven & Telscombe', 'Littlehampton Town', 'Sidlesham']]",which division three team also played in the division two season during the 1980s?,Seaford Town
"[['Name', 'Country', 'Top rugby league level', 'Top union level', 'Top representation level', 'Rugby League Debut', 'Rugby Union Debut'], ['Karmichael Hunt', 'New Zealand, Australia', 'National Rugby League', 'Top 14, Biarritz Olympique', 'Australia (RL)', 2004, 2009], ['Chris Ashton', 'England', 'Super League', 'English Premiership', 'England (RL), England (RU)', 2005, 2007], ['Lee Smith', 'England', 'Super League', 'English Premiership', 'England (RL), Great Britain (RL)', 2005, 2009], ['Berrick Barnes', 'Australia', 'NRL', 'Super Rugby', 'Australia (RU)', 2005, 2006], ['Nathan Blacklock', 'Australia', 'NRL/Super League', 'Super 12', 'Australia (RL)', 1995, 2003], ['Willie Carne', 'Australia', 'NRL', 'Super Rugby', 'Australia (RL)', 1990, 1997], ['Brian Carney', 'Ireland', 'Super League/NRL', 'Celtic League', 'Great Britain (RL), Ireland (RU)', 1999, 2007], ['Ryan Cross', 'Australia', 'NRL', 'Super Rugby', 'Australia (RU)', 1998, 2007], ['Andy Farrell', 'England', 'Super League', 'English Premiership', 'Great Britain (RL), England (RU)', 1991, 2005], ['Paul Franze', 'Australia', 'NRL', 'English Premiership', 'Australia (RL), London Irish(RU)', 2002, 2006], ['Iestyn Harris', 'Wales', 'Super League', 'Heineken Cup, Celtic League', 'Great Britain (RL), Wales(RU)', 1993, 2001], ['Sam Harris', 'Australia', 'NRL', 'Super Rugby', 'Australian Schoolboys (RU), City v. Country (RL)', 2003, 2007], ['Wise Kativerata', 'Australia', 'NRL', 'Shute Shield', 'Australia Sevens (RU)', 2001, 2004], ['Ben MacDougall', 'Australia', 'NRL', 'Celtic League', 'Scotland (RU)', 1998, 2006], ['Stephen Myler', 'England', 'Super League', 'English Premiership', 'England Saxons (RU)', 2001, 2006], ['Henry Paul', 'New Zealand', 'NRL', 'English Premiership', 'New Zealand (RL), England (RU)', 1993, 2001], ['Jason Robinson', 'England', 'Super League', 'English Premiership', 'Great Britain (RL), England Captain and Lions (RU)', 1991, 1996], ['Mat Rogers', 'Australia', 'NRL', 'Super Rugby', 'Australia (RL/RU)', 1995, 2002], ['Wendell Sailor', 'Australia', 'NRL', 'Super Rugby', 'Australia (RL/RU)', 1993, 2002], ['Clinton Schifcofske', 'Australia', 'NRL/Super League', 'Super Rugby', 'State of Origin {RL}/Australia A (RU)', 1996, 2006], ['Timana Tahu', 'Australia', 'NRL', 'Super Rugby', 'Australia (RL/RU)', 1999, 2008], ['Alan Tait', 'Scotland', 'Super League', 'Celtic League', 'Scotland (RL/RU), Great Britain (RL), British & Irish Lions (RU)', 1988, 1996], ['Brad Thorn', 'Australia', 'NRL', 'Super Rugby', 'Australia (RL), New Zealand (RU)', 1994, 2001], ['Lote Tuqiri', 'Australia', 'NRL', 'Super Rugby', 'Australia (RL/RU), Fiji (RL)', 1999, 2003], ['Lesley Vainikolo', 'England', 'NRL, Super League', 'English Premiership', 'New Zealand (RL), England (RU)', 2002, 2007], ['Andrew Walker', 'Australia', 'NRL', 'Super Rugby', 'Australia (RL/RU)', 1991, 2000], ['Chev Walker', 'England', 'Super League', 'English Premiership', 'Great Britain (RL), England Saxons (RU)', 1999, 2007], ['Barrie Jon Mather', 'England', 'RFL Championship/Super League', 'England RU', 'Great Britain (RL), England (RL), England (RU)', 1992, 1998], ['Sonny Bill Williams', 'New Zealand', 'NRL', 'Top 14, Super Rugby', 'New Zealand Kiwis (RL), New Zealand All Blacks (RU)', 2004, 2008], ['Craig Wing', 'Australia', 'NRL', 'Top League', 'Australian Kangaroos (RL), Japan (RU)', 2002, 2010], ['Craig Gower', 'Australia', 'NRL', 'Top 14', 'Australian Kangaroos (RL), Italy (RU)', 1996, 2008], ['Mark Gasnier', 'Australia', 'NRL', 'Top 14', 'Australian Kangaroos (RL)', 2000, 2008], ['Shontayne Hape', 'New Zealand', 'NRL, Super League', 'English Premiership', 'New Zealand Kiwis (RL), England (RU)', 2003, 2008], ['Fabrice Estebanez', 'France', 'Super League', 'Top 14', 'France (RL), France (RU)', 2005, 2010], ['Tasesa Lavea', 'New Zealand', 'NRL', 'Super rugby, Top 14', 'New Zealand Kiwis (RL), Samoa (RU)', 2000, 2010], ['Cooper Vuna', 'New Zealand', 'NRL', 'Super rugby', 'Tonga (RL), Australia (RU)', 2008, 2012], ['Setaimata Sa', 'New Zealand, Samoa', 'NRL, Super League', 'English Premiership', 'New Zealand Kiwis (RL), Samoa (RL), Samoa (RU)', 2008, 2012], ['Peter Ryan', 'Australia', 'NRL', 'Super Rugby', 'Queensland (RL)', 1989, 2000]]",what is the difference in league debut date between farrell and carne?,1
"[['Title', 'Director', 'Production', 'Music', 'Cast', 'Release date'], ['Arunthathi', 'M. L. Tandan & T. R. Sundaram', 'T. R. Sundaram, Modern Theatres', 'M. D. Parathasarathy & S. Rajeshwara Rao', 'C. Honnappa Bhagavathar, U. R. Jeevarathinam', '02.07.1943'], ['Achayam (Vaarai Sena, Vamuna Therai & Thillana)', nan, nan, nan, nan, nan], ['Dhaasippen or Jothi Malar', 'Ellis R. Dungan', 'Bhuvaneshwari Pictures', 'Lalitha Venkatraman & S. Rajeswara Rao', 'T. R. Mahalingam, M. R. Santhanalakshmi, M. G. Ramachandran, N. S. Krishnan, T. A. Madhuram, R. Balasaraswathi Devi, Krishnamurthy, V. K. Das', '25.01.1943/03.03.1943'], ['Devakanya', 'R. Padmanaban', 'Padma Pictures', 'Palavangudi Sama Iyer', 'C. Honnappa Bhagavathar, V. N. Janaki, U. R. Jeevarathinam, T. R. Ramachandran, M. S. Murugesam, T. S. Jaya, E. R. Sahadevan, K. S. Angamuthu, T. V. Sethuraman, V. P. S. Mani, T. R. Rajani, M. A. Ganapathi Bhat, Joker Ramudu, Loose Arumugham, M. R. Swaminathan, Kottapuli Jayaraman, S. A. Padmanabhan, Kalyani, P. B. Srinivasan, Chakrapani Ayyangar', '16.01.1943'], ['Harichandra\\n(dubbed from Kannada)', 'A. V. Meiyappan', 'A. V. Meiyappan, AVM Productions', nan, 'R. Nagendra Rao, M. V. Subbaiah Naidu, Lakshmi Bai', nan], ['Kaaraikkal Ammaiyar or Moondru Thengai', 'C. V. Raman', 'Kanthan Company-C. V. Raman', nan, 'V. A. Chellappa, K. Sarangkapani, Kali N. Ratnam, T. S. Durairaj, P. Saraswathi, K. R. Chellam, T. S. Jeya, Kalyani', '22.09.1943'], ['Kubera Kuchela', 'R. S. Mani', 'M. Somasundaram & S. K. Mohideen, Jupiter Pictures', 'Kunnakudi Venkatarama Iyer & N. S. Balakrishnan, background music by S. V. Venkatraman, G. Ramanathan & T. K. Ramanathan', 'P. U. Chinnappa, N. S. Krishnan, T. A. Madhuram, Papanasam Sivan, P. S. Govindan, T. R. Rajakumari, S. R. Janaki, R. Balasubramaniam, D. Balasubramaniam, M. K. Meenalochani, Pulimootai Ramasami, L. Narayan Rao, T. S. Durairaj, Azhwar P. G. Kuppusami, T. V. Annapoorani, E. Krishnan and dance by B. S. Saroja', '14.06.1943'], ['Kumara Kulothungan & Asattupillai', nan, 'Deccan Cineton', nan, 'C. D. Kannapiran, G. Gopal, S. S. Koko, M. S. Murugesan, T. R. Rajalakshmi, M. R. Mahalakshmi, Sarada, M. K. Meenakshi Bai', nan], ['Mangamma Sabatham', 'Acharya (T. G. Raghavanchari)', 'S. S. Vasan, Gemini Studios', 'S. Rajeswara Rao', 'Ranjan, Vasundhara Devi, N. S. Krishnan, T. A. Madhuram and dance by B. S. Saroja', nan], ['Sivakavi', 'P. K. Raja Sandow & S. M. Sriramulu Naidu', 'S. M. Sriramulu Naidu, Pakshiraja Films', 'Papanasam Sivan & G. Ramanathan', 'M. K. Thyagaraja Bhagavathar, S. Jayalakshmi, Serukulathur Sama, Thripuramba, T. R. Rajakumari, N. S. Krishnan, T. A. Madhuram', '10.04.1943'], ['Diwan Bahadur', 'T. R. Sundaram', 'T. R. Sundaram, Modern Theatres', nan, 'T. R. Ramachandran, V. Suseela, Kali N. rathinam, C. T. Rajakantham, V. M. Ezhumalai, P. S. Gnanam', '28.10.1943'], ['Utthami', 'R. Prakash', 'Shyamala Pictures', 'T. P. Rajagopalan-K. V. Naidu', 'M. Lakshmanan, M. Lakshmi, C. V. V. Panthulu, Kali N. Ratnam, T. S. Durairaj, T. P. Rajalakshmi, T. S. Krishnaveni, C. T. Rajakantham, K. S. Angamuthu', nan]]","what film was released before ""devakanya?""",Dhaasippen or Jothi Malar
"[['Rank', 'Bib', 'Name', 'Nationality', 'Start', 'Penalties (P+P+S+S)', 'Time', 'Deficit'], [nan, 1, 'Emil Hegle Svendsen', 'Norway', '0:00', '1 (0+0+0+1)', '32:35.5', nan], [nan, 2, 'Martin Fourcade', 'France', '0:08', '2 (0+1+1+0)', '32:35.6', '+0.1'], [nan, 7, 'Anton Shipulin', 'Russia', '0:33', '1 (0+0+1+0)', '32:39.1', '+3.6'], [4.0, 5, 'Dmitry Malyshko', 'Russia', '0:23', '0 (0+0+0+0)', '32:40.9', '+5.4'], [5.0, 15, 'Dominik Landertinger', 'Austria', '0:58', '0 (0+0+0+0)', '32:55.9', '+20.4'], [6.0, 3, 'Jakov Fak', 'Slovenia', '0:11', '1 (0+0+0+1)', '33:05.2', '+29.7'], [7.0, 8, 'Fredrik Lindström', 'Sweden', '0:38', '1 (0+0+1+0)', '33:18.9', '+43.4'], [8.0, 6, 'Alexis Bœuf', 'France', '0:25', '2 (0+0+2+0)', '33:22.1', '+46.6'], [9.0, 13, 'Björn Ferry', 'Sweden', '0:52', '0 (0+0+0+0)', '33:23.6', '+48.1'], [10.0, 4, 'Ole Einar Bjørndalen', 'Norway', '0:20', '4 (2+0+1+1)', '33:27.0', '+51.5'], [11.0, 14, 'Lukas Hofer', 'Italy', '0:57', '2 (0+2+0+0)', '33:28.8', '+53.3'], [12.0, 10, 'Simon Eder', 'Austria', '0:39', '3 (0+0+2+1)', '33:50.5', '+1:15.0'], [13.0, 32, 'Lowell Bailey', 'United States', '1:38', '0 (0+0+0+0)', '33:56.4', '+1:20.9'], [14.0, 12, 'Erik Lesser', 'Germany', '0:49', '4 (1+0+2+1)', '34:06.0', '+1:30.5'], [15.0, 36, 'Jean-Philippe Leguellec', 'Canada', '1:45', '1 (0+0+0+1)', '34:08.7', '+1:33.2'], [16.0, 9, 'Evgeny Ustyugov', 'Russia', '0:38', '3 (0+1+2+0)', '34:16.7', '+1:41.2'], [17.0, 18, 'Tarjei Bø', 'Norway', '1:14', '3 (2+0+1+0)', '34:18.9', '+1:43.4'], [18.0, 29, 'Simon Schempp', 'Germany', '1:36', '1 (0+0+0+1)', '34:24.4', '+1:48.9'], [19.0, 11, 'Krasimir Anev', 'Bulgaria', '0:48', '2 (0+1+0+1)', '34:24.7', '+1:49.2'], [20.0, 37, ""Henrik L'Abee-Lund"", 'Norway', '1:45', '1 (0+0+0+1)', '34:36.1', '+2:00.6'], [21.0, 16, 'Arnd Peiffer', 'Germany', '1:08', '3 (0+0+2+1)', '34:39.8', '+2:04.3'], [22.0, 23, 'Andreas Birnbacher', 'Germany', '1:25', '3 (0+1+1+1)', '34:41.7', '+2:06.2'], [23.0, 34, 'Simon Fourcade', 'France', '1:42', '3 (0+3+0+0)', '34:51.1', '+2:15.6'], [24.0, 21, 'Klemen Bauer', 'Slovenia', '1:16', '4 (1+0+3+0)', '34:55.4', '+2:19.9'], [25.0, 26, 'Christian De Lorenzi', 'Italy', '1:30', '1 (0+0+0+1)', '34:57.5', '+2:22.0'], [26.0, 20, 'Jean-Guillaume Béatrix', 'France', '1:15', '4 (0+1+2+1)', '34:58.4', '+2:22.9'], [27.0, 33, 'Daniel Mesotitsch', 'Austria', '1:39', '3 (0+0+2+1)', '34:58.7', '+2:23.2'], [28.0, 19, 'Evgeniy Garanichev', 'Russia', '1:14', '5 (2+0+2+1)', '35:04.2', '+2:28.7'], [29.0, 30, 'Matej Kazár', 'Slovakia', '1:36', '5 (2+1+1+1)', '35:04.9', '+2:29.4'], [30.0, 17, 'Andriy Deryzemlya', 'Ukraine', '1:13', '4 (0+0+2+2)', '35:05.3', '+2:29.8'], [31.0, 35, 'Ondřej Moravec', 'Czech Republic', '1:42', '3 (0+1+1+1)', '35:05.3', '+2:48.2'], [32.0, 28, 'Tim Burke', 'United States', '1:36', '4 (0+1+2+1)', '35:33.8', '+2:58.3'], [33.0, 58, 'Dominik Windisch', 'Italy', '2:31', '2 (0+0+1+1)', '35:36.4', '+3:00.9'], [34.0, 54, 'Carl Johan Bergman', 'Sweden', '2:19', '2 (0+0+1+1)', '35:37.0', '+3:01.5'], [35.0, 25, 'Benjamin Weger', 'Switzerland', '1:28', '3 (0+1+1+1)', '36:13.1', '+3:37.6'], [36.0, 42, 'Artem Pryma', 'Ukraine', '1:59', '3 (1+2+0+0)', '36:13.2', '+3:37.7'], [37.0, 50, 'Pavol Hurajt', 'Slovakia', '2:14', '2 (0+1+0+1)', '36:18.9', '+3:43.4'], [38.0, 22, 'Tomas Kaukėnas', 'Lithuania', '1:20', '4 (0+0+2+2)', '36:33.4', '+3:57.9'], [39.0, 43, 'Vladimir Iliev', 'Bulgaria', '2:03', '5 (1+1+2+1)', '36:43.4', '+4:07.9'], [40.0, 40, 'Edgars Piksons', 'Latvia', '1:55', '4 (1+0+2+1)', '36:49.8', '+4:14.3'], [41.0, 60, 'Christian Martinelli', 'Italy', '2:36', '2 (1+0+0+1)', '36:53.0', '+4:17.5'], [42.0, 27, 'Jaroslav Soukup', 'Czech Republic', '1:32', '6 (2+2+2+0)', '36:59.8', '+4:24.3'], [43.0, 53, 'Leif Nordgren', 'United States', '2:19', '6 (2+2+2+0)', '37:08.3', '+4:32.8'], [44.0, 56, 'Hidenori Isa', 'Japan', '2:27', '2 (0+0+0+2)', '37:13.9', '+4:38.4'], [45.0, 41, 'Serhiy Semenov', 'Ukraine', '1:55', '5 (3+1+1+0)', '37:14.0', '+4:38.5'], [46.0, 24, 'Zdeněk Vítek', 'Czech Republic', '1:25', '7 (2+2+1+2)', '37:21.0', '+4:45.5'], [47.0, 49, 'Milanko Petrović', 'Serbia', '2:14', '6 (2+2+2+0)', '37:26.6', '+4:51.1'], [48.0, 31, 'Kauri Kõiv', 'Estonia', '1:37', '6 (2+1+2+1)', '37:29.9', '+4:54.4'], [49.0, 47, 'Yan Savitskiy', 'Kazakhstan', '2:11', '5 (2+2+0+1)', '37:51.8', '+5:16.3'], [50.0, 45, 'Scott Gow', 'Canada', '2:06', '5 (0+0+1+4)', '37:57.4', '+5:21.9'], [51.0, 48, 'Claudio Böckli', 'Switzerland', '2:13', '3 (2+0+0+1)', '38:02.8', '+5:27.3'], [52.0, 44, 'Russell Currier', 'United States', '2:05', '7 (3+1+2+1)', '38:06.2', '+5:30.7'], [53.0, 57, 'Vladimir Chepelin', 'Belarus', '2:28', '4 (0+1+2+1)', '38:06.5', '+5:31.0'], [54.0, 46, 'Aliaksandr Babchyn', 'Belarus', '2:06', '6 (3+2+1+0)', '38:19.8', '+5:44.3'], [55.0, 59, 'Miroslav Matiaško', 'Slovakia', '2:36', '6 (3+0+2+1)', '38:54.6', '+6:19.1'], [56.0, 38, 'Jarkko Kauppinen', 'Finland', '1:46', '6 (1+1+3+1)', '39:06.6', '+6:31.1'], [57.0, 51, 'Junji Nagai', 'Japan', '2:17', '7 (0+2+3+2)', '39:49.9', '+7:14.4'], [nan, 55, 'Stefan Gavrila', 'Romania', '2:25', '10 (4+3+3)', 'LAP', nan], [nan, 39, 'Sergei Sednev', 'Ukraine', '1:54', nan, 'DNS', nan], [nan, 52, 'Michal Šlesingr', 'Czech Republic', '2:18', nan, 'DNS', nan]]",what is the largest penalty?,10
"[['Res.', 'Record', 'Opponent', 'Method', 'Event', 'Date', 'Round', 'Time', 'Location', 'Notes'], ['Loss', '5–3', 'Alistair Overeem', 'TKO (kick to the body & punches)', 'UFC 141', 'December 30, 2011', 1, '2:26', 'Las Vegas, United States', 'Announced retirement after fight'], ['Loss', '5–2', 'Cain Velasquez', 'TKO (punches)', 'UFC 121', 'October 23, 2010', 1, '4:12', 'Anaheim, California, United States', 'Lost UFC Heavyweight Championship'], ['Win', '5–1', 'Shane Carwin', 'Submission (arm triangle choke)', 'UFC 116', 'July 3, 2010', 2, '2:19', 'Las Vegas, United States', 'Defended UFC Heavyweight Championship. Unified UFC Interim Heavyweight Championship; Submission of the Night'], ['Win', '4–1', 'Frank Mir', 'TKO (punches)', 'UFC 100', 'July 11, 2009', 2, '1:48', 'Las Vegas, United States', 'Defended UFC Heavyweight Championship. Unified UFC Interim Heavyweight Championship'], ['Win', '3–1', 'Randy Couture', 'TKO (punches)', 'UFC 91', 'November 15, 2008', 2, '3:07', 'Las Vegas, United States', 'Won UFC Heavyweight Championship.'], ['Win', '2–1', 'Heath Herring', 'Decision (unanimous)', 'UFC 87', 'August 9, 2008', 3, '5:00', 'Minneapolis, Minnesota, United States', nan], ['Loss', '1–1', 'Frank Mir', 'Submission (kneebar)', 'UFC 81', 'February 2, 2008', 1, '1:30', 'Las Vegas, United States', 'UFC Debut'], ['Win', '1–0', 'Min-Soo Kim', 'Submission (punches)', 'Dynamite!! USA', 'June 2, 2007', 1, '1:09', 'Los Angeles, United States', 'MMA Debut']]",who has the most and best score?,Shane Carwin
"[['Election year', '# of\\nconstituency votes', '% of\\nconstituency votes', '+/–', '# of\\nparty list votes', '% of\\nparty list votes', '+/–.1', '# of\\noverall seats won'], [1965, '587,216', 1.8, 1.8, '664,193', 2.0, 2.0, '0\xa0/\xa0518'], [1969, '1,189,375', 3.6, 1.8, '1,422,010', 4.3, 2.3, '0\xa0/\xa0518'], [1972, '194,389', 0.5, 3.1, '207,465', 0.6, 3.7, '0\xa0/\xa0518'], [1976, '136.023', 0.4, 0.1, '122,661', 0.3, 0.3, '0\xa0/\xa0518'], [1980, nan, nan, nan, '68,096', 0.2, 0.1, '0\xa0/\xa0497'], [1983, '57,112', 0.1, 0.3, '91,095', 0.2, 0.0, '0\xa0/\xa0498'], [1987, '182,880', 0.5, 0.4, '227,054', 0.6, 0.4, '0\xa0/\xa0497'], [1990, '190,105', 0.4, 0.1, '145,776', 0.3, 0.3, '0\xa0/\xa0662'], [1998, '45,043', 0.1, 0.3, '126,571', 0.3, 0.0, '0\xa0/\xa0669'], [2002, '103,209', 0.1, 0.1, '215,232', 0.4, 0.1, '0\xa0/\xa0603'], [2005, '857.777', 1.8, 1.6, '748,568', 1.6, 1.2, '0\xa0/\xa0614'], [2009, '768,442', 1.8, 0.0, '635,525', 1.5, 0.1, '0\xa0/\xa0620'], [2013, '634,842', 1.5, 0.3, '560,660', 1.3, 0.2, '0\xa0/\xa0630']]",what is the current total number of seats in the federal parliament?,630
